id,emoji,description,ocurrences
55,👈,backhand index pointing left,1
56,🇪🇦,flag: Ceuta & Melilla,1
57,🤔,thinking face,1
57,📈,chart increasing,1
57,📊,bar chart,2
57,👇,backhand index pointing down,1
57,🏎️,racing car,3
57,👉,backhand index pointing right,1
57,👈,backhand index pointing left,1
61,💪,flexed biceps,1
61,🇪🇦,flag: Ceuta & Melilla,1
62,💪,flexed biceps,1
62,🇪🇦,flag: Ceuta & Melilla,1
64,🆕,NEW button,1
64,👀,eyes,1
65,❓,red question mark,1
65,🗣️,speaking head,1
65,🎙️,studio microphone,1
65,👊🏼,oncoming fist: medium-light skin tone,1
65,🔥,fire,1
67,🤔,thinking face,2
67,📸,camera with flash,1
67,📈,chart increasing,1
67,📊,bar chart,2
67,🏎️,racing car,3
67,👇,backhand index pointing down,1
67,➡,right arrow,1
67,👉,backhand index pointing right,1
67,👈,backhand index pointing left,1
69,💬,speech balloon,1
69,🇪🇸,flag: Spain,1
69,👉,backhand index pointing right,1
70,🌧️,cloud with rain,1
70,👀,eyes,1
72,🏎️,racing car,1
72,💨,dashing away,1
75,🔥,fire,1
75,⏩,fast-forward button,1
75,👀,eyes,1
77,🤔,thinking face,1
77,📖,open book,1
77,😱,face screaming in fear,1
77,😳,flushed face,1
77,🇪🇸,flag: Spain,1
77,🍿,popcorn,1
78,🏎️,racing car,1
78,💨,dashing away,1
79,🥕,carrot,1
79,▶️,play button,1
79,❤️,red heart,1
80,😉,winking face,1
80,📞,telephone receiver,1
80,🏁,chequered flag,1
80,👇,backhand index pointing down,1
80,🇪🇸,flag: Spain,1
80,🏎,racing car,1
82,📲,mobile phone with arrow,1
85,🏷️,label,2
85,🇪🇸,flag: Spain,1
88,🇪🇸,flag: Spain,1
88,🏎,racing car,4
88,🇬🇧,flag: United Kingdom,1
89,👇,backhand index pointing down,1
91,➖,minus,1
92,🔥,fire,1
92,🇪🇸,flag: Spain,1
94,🏻,light skin tone,1
94,⚡,high voltage,1
95,🏆,trophy,2
95,🌟,glowing star,3
95,🎉,party popper,3
95,✉,envelope,1
95,👉,backhand index pointing right,5
95,🇸🇦,flag: Saudi Arabia,1
95,🌍,globe showing Europe-Africa,1
97,📲,mobile phone with arrow,1
97,🎮,video game,1
97,💰,money bag,1
97,🤑,money-mouth face,1
98,♣️,club suit,1
